Repo Name,PRs Opened (<30 days),PRs Opened Int (<30 days),PRs Opened Ext (<30 days),PRs Opened FTC (<30 days),PRs Merged (<30 days),PR turnaround time (<30 days),PRs Closed (<30 days),PRs Open (all time),PRs Merged (all time),PRs Closed (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (<30 days),Issues Opened Int (<30 days),Issues Opened Ext (<30 days),Issues Opened FTC (<30 days),Issues Closed (<30 days),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>14),% Stale Issues (all time),Old Issues (>120),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (<30 days),Contributors Int (<30 days),Contributors Ext (<30 days),Contributors FTC (<30 days),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
hutb,19,19,0,0,17,13,1,10,2201,965,0,3179,1428,1748,20,20,0,0,5,458,385,73,209,163,78%,150,72%,2%,74,4,4,0,0,280,106,174,554,25,415
carla-pedestrians,6,1,5,0,4,14,2,1,28,9,1,62,27,11,3,1,2,0,1,33,21,8,18,17,94%,9,50%,0%,10,2,1,1,0,7,4,3,5,3,6
traffic_twin,4,4,0,0,4,13,0,0,124,9,0,133,133,0,2,2,0,0,0,40,40,0,20,17,85%,16,80%,25%,29,2,2,0,0,5,5,0,27,4,20
cpp,4,4,0,0,4,16,0,0,4,0,0,4,4,0,1,1,0,0,0,1,1,0,1,1,100%,0,0%,N/A,N/A,2,2,0,0,2,2,0,4,2,4
structure,3,3,0,0,3,10,0,0,52,13,0,65,65,0,0,0,0,0,0,56,56,0,26,21,81%,12,46%,0%,19,1,1,0,0,3,3,0,4,2,1
mcp,3,3,0,0,2,2,0,2,30,6,0,38,38,0,8,1,7,0,0,51,39,12,32,31,97%,12,38%,16%,31,3,2,1,0,10,9,1,13,3,11
engine,2,2,0,0,2,12,0,1,13,0,2,14,14,0,5,5,0,0,0,23,23,0,20,17,85%,10,50%,0%,3,2,2,0,0,3,3,0,20,9,12
new_eagles,0,0,0,0,0,N/A,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,N/A,0,N/A,100%,2242,0,0,0,0,3,2,1,56,5,17
DFS,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
download_client,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
