Repo Name,PRs Opened (<30 days),PRs Opened Int (<30 days),PRs Opened Ext (<30 days),PRs Opened FTC (<30 days),PRs Merged (<30 days),PR turnaround time (<30 days),PRs Closed (<30 days),PRs Open (all time),PRs Merged (all time),PRs Closed (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (<30 days),Issues Opened Int (<30 days),Issues Opened Ext (<30 days),Issues Opened FTC (<30 days),Issues Closed (<30 days),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>14),% Stale Issues (all time),Old Issues (>120),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (<30 days),Contributors Int (<30 days),Contributors Ext (<30 days),Contributors FTC (<30 days),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
nn,871,847,24,1,505,19,352,18,3320,2473,0,5819,5732,79,115,107,8,0,21,405,394,9,118,51,43%,0,0%,1%,25,110,98,12,1,302,282,20,47,4,311
sim,53,52,1,0,35,20,18,0,279,174,0,453,449,4,6,6,0,0,0,40,38,2,14,10,71%,3,21%,4%,142,6,5,1,0,19,16,3,3,1,19
hutb,10,6,4,0,4,22,7,0,2162,957,0,3122,1365,1754,10,7,3,0,2,388,314,74,152,126,83%,117,77%,1%,76,10,4,6,0,275,97,178,480,23,412
mujoco_plugin,9,9,0,0,5,6,4,0,5,4,0,9,9,0,6,6,0,0,0,14,14,0,14,9,64%,7,50%,N/A,N/A,5,5,0,0,5,5,0,7,1,11
traffic_twin,7,7,0,0,7,14,0,0,97,9,0,106,106,0,4,4,0,0,1,36,36,0,16,15,94%,12,75%,25%,29,2,2,0,0,5,5,0,26,4,20
structure,6,6,0,0,3,14,3,0,21,12,0,33,33,0,5,5,0,0,3,39,39,0,14,10,71%,8,57%,0%,11,3,3,0,0,3,3,0,4,2,1
locomotion,6,6,0,0,6,9,0,0,39,14,0,53,53,0,2,2,0,0,1,41,39,2,17,14,82%,16,94%,8%,6,1,1,0,0,10,8,2,5,2,5
neuro,5,5,0,0,5,4,0,0,344,44,2,388,388,0,2,2,0,0,1,73,65,8,25,23,92%,22,88%,10%,52,3,3,0,0,61,54,7,370,18,116
carla-pedestrians,4,4,0,0,0,N/A,4,0,21,10,0,31,31,0,0,0,0,0,0,19,18,1,10,9,90%,7,70%,0%,3,1,1,0,0,6,5,1,5,3,6
PFC,3,3,0,0,3,23,0,0,166,27,0,193,193,0,0,0,0,0,0,28,28,0,3,3,100%,1,33%,4%,61,1,1,0,0,26,26,0,45,4,52
